zpid,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher
29349550,1,0,1,1,2.7,7.0,1177,16
29405981,1,0,1,1,1.8666666666666665,6.0,1196,16
29344050,1,0,1,1,1.1,7.0,1177,16
29337742,1,0,1,1,1.3333333333333333,6.0,1196,16
29336068,1,0,1,1,1.2666666666666666,7.0,1298,16
29349548,1,0,1,1,2.7,7.0,1177,16
64500739,1,0,1,1,1.366666666666667,6.0,1196,16
29335067,1,0,1,1,0.9666666666666668,7.0,1298,16
29333567,1,0,1,1,1.1333333333333333,7.0,1298,16
29343042,1,0,1,1,1.4666666666666668,7.0,1177,16
62605733,1,0,1,1,1.6333333333333335,7.333333333333332,1142,15
29335560,1,0,1,1,1.1333333333333333,7.0,1298,16
